N,P,K,temperature,humidity,ph,rainfall,season,label
65,37,39,16.7,74.2,6.9,124.7,Winter,orange
78,57,33,13.6,67.5,7.1,131.5,Winter,wheat
42,30,29,29.5,66.4,6.3,60.2,Autumn,cotton
61,32,24,23.8,66.7,6.2,85.4,Spring,tomato
100,55,37,27.1,74.3,6.1,207.0,Summer,rice
78,25,34,27.4,78.7,7.4,214.8,Summer,mango
69,34,35,29.6,64.2,5.8,104.5,Spring,maize
64,41,45,25.2,60.6,6.4,107.1,Summer,mango
80,33,33,25.9,82.0,5.8,97.9,Spring,papaya
58,46,47,19.0,65.3,7.0,128.0,Winter,wheat
60,37,38,21.0,73.0,6.1,125.8,Spring,tomato
58,35,24,15.8,54.0,6.2,58.3,Winter,onion
63,30,37,28.5,68.2,6.3,106.6,Summer,soybean
42,23,28,19.1,66.6,6.1,48.9,Winter,potato
41,40,40,27.9,46.4,5.6,111.9,Autumn,cotton
81,28,33,27.2,73.0,6.7,91.0,Summer,mango
79,31,29,23.6,63.3,6.0,175.8,Spring,papaya
53,17,26,16.1,53.3,6.9,50.4,Winter,onion
59,28,30,14.2,59.4,6.5,84.8,Winter,carrot
71,35,45,17.6,70.3,5.9,110.0,Winter,orange
81,41,60,29.2,72.7,5.6,197.2,Summer,banana
66,27,36,25.6,49.2,5.7,101.7,Autumn,cotton
60,45,30,29.4,60.3,6.3,112.3,Summer,mango
46,37,24,24.7,60.7,5.8,54.4,Spring,tomato
42,31,21,30.9,57.7,6.9,50.9,Autumn,cotton
75,37,38,19.7,57.1,6.4,94.3,Winter,orange
62,31,28,21.6,61.9,6.2,74.9,Spring,tomato
61,35,30,18.1,71.7,6.6,158.0,Spring,maize
70,37,42,26.1,66.3,6.7,83.8,Spring,papaya
63,33,25,20.9,50.2,5.8,134.4,Spring,tomato
62,44,31,10.4,74.7,7.4,95.9,Winter,wheat
64,39,44,32.1,81.2,5.5,125.5,Summer,mango
79,41,41,26.2,83.7,5.7,124.6,Spring,papaya
69,32,28,16.4,64.6,6.4,117.9,Winter,orange
73,45,34,14.0,54.7,6.8,159.2,Winter,orange
72,38,25,28.5,73.4,6.5,177.5,Summer,soybean
63,31,50,27.3,74.1,6.5,171.1,Summer,mango
64,26,30,27.4,47.5,7.0,101.5,Autumn,cotton
68,39,39,28.1,48.7,6.4,56.4,Autumn,cotton
54,48,27,8.6,63.1,6.2,95.6,Winter,apple
57,22,35,15.4,52.8,6.7,75.9,Winter,potato
63,42,41,24.1,69.3,6.3,113.0,Spring,papaya
55,39,27,23.7,62.8,5.6,67.6,Winter,grapes
49,40,40,30.0,49.8,6.6,65.7,Autumn,cotton
86,36,44,26.5,78.0,5.9,217.4,Summer,banana
95,59,47,20.0,80.4,6.8,257.2,Summer,rice
53,26,38,22.0,55.2,5.7,62.8,Spring,tomato
53,59,45,11.3,67.4,6.1,82.4,Winter,wheat
98,30,50,33.5,81.6,6.8,252.3,Summer,banana
74,56,48,10.4,59.0,6.7,116.3,Winter,wheat
47,40,34,19.4,64.1,6.4,72.9,Spring,tomato
44,35,35,17.6,50.7,6.5,88.8,Winter,carrot
72,55,32,11.4,67.7,7.4,94.6,Winter,wheat
40,18,28,8.6,54.5,6.1,57.6,Winter,carrot
89,27,40,26.7,70.6,7.2,209.5,Summer,mango
62,45,42,33.9,60.8,6.6,236.3,Summer,mango
50,30,24,19.9,67.5,6.3,71.8,Winter,potato
56,34,25,22.9,59.0,6.5,118.7,Spring,tomato
55,55,46,18.5,74.1,7.5,86.0,Winter,wheat
78,38,29,19.9,68.1,5.7,97.4,Winter,apple
57,30,33,16.6,66.5,6.0,51.4,Winter,apple
96,32,53,30.2,83.1,6.0,185.8,Summer,banana
88,46,41,20.0,71.0,5.7,79.5,Spring,maize
65,57,39,21.7,73.9,6.3,118.6,Winter,wheat
60,45,41,31.3,62.6,6.2,80.8,Summer,soybean
70,29,45,22.7,73.8,6.4,138.3,Summer,soybean
53,38,40,6.7,66.7,6.2,145.2,Winter,apple
37,30,23,13.5,46.4,5.7,44.5,Winter,carrot
58,27,38,15.1,59.8,6.5,80.2,Winter,grapes
53,33,25,13.0,56.4,6.6,70.6,Winter,carrot
45,31,31,16.0,69.5,6.0,92.7,Winter,potato
53,32,34,27.6,59.4,6.8,64.3,Autumn,cotton
80,36,44,34.6,80.5,6.4,162.1,Summer,banana
67,20,24,30.1,45.9,6.1,80.7,Autumn,cotton
84,34,44,31.0,65.5,6.3,83.1,Spring,papaya
60,25,28,21.6,57.2,7.0,63.7,Winter,orange
52,15,18,12.7,62.0,6.7,61.4,Winter,carrot
53,32,38,10.3,61.8,6.5,111.2,Winter,apple
57,15,18,22.0,66.1,5.9,74.2,Winter,onion
45,25,22,14.3,68.1,5.7,61.8,Winter,potato
91,56,43,28.6,89.8,6.7,264.2,Summer,rice
98,60,39,27.2,77.4,6.0,251.8,Summer,rice
75,40,41,32.6,80.9,6.9,250.9,Summer,banana
66,41,35,20.5,70.2,5.9,139.5,Winter,orange
69,26,38,14.4,49.8,6.3,112.6,Winter,grapes
88,48,48,23.4,70.8,5.9,285.0,Summer,rice
81,43,32,22.9,74.9,6.8,75.6,Summer,soybean
72,32,38,20.5,56.2,6.8,153.9,Winter,orange
65,29,21,14.4,67.0,6.3,95.6,Winter,potato
51,27,23,32.1,47.8,6.7,91.7,Autumn,cotton
38,16,30,10.7,54.0,5.9,52.2,Winter,carrot
56,18,31,19.7,67.2,6.9,46.3,Winter,onion
85,42,48,26.6,82.1,6.2,278.7,Summer,banana
49,28,19,18.8,59.4,6.3,74.2,Winter,onion
60,27,34,19.1,66.0,6.7,91.9,Winter,onion
46,30,27,13.1,67.3,6.4,99.1,Winter,potato
45,31,31,14.2,54.3,6.5,99.7,Winter,potato
56,21,32,11.5,58.4,6.3,42.7,Winter,potato
86,45,35,22.7,72.6,5.5,98.0,Spring,maize
40,32,30,15.4,50.5,6.5,54.5,Winter,potato
66,28,36,26.5,55.1,6.2,73.9,Summer,soybean
78,32,37,22.7,76.5,6.4,163.7,Spring,papaya
50,26,25,19.6,54.7,7.3,57.1,Winter,grapes
63,50,33,15.7,68.2,6.5,149.4,Winter,apple
52,31,34,10.0,51.2,5.6,137.6,Winter,apple
56,34,22,12.4,54.5,5.7,84.1,Winter,onion
61,39,39,19.6,67.4,7.2,62.3,Winter,grapes
66,25,39,25.9,68.7,5.8,92.7,Spring,tomato
44,33,29,30.8,52.8,6.3,88.4,Autumn,cotton
51,45,46,11.4,61.9,7.4,64.5,Winter,wheat
68,27,34,23.5,69.2,6.8,130.0,Spring,tomato
53,20,27,23.4,51.4,5.8,84.8,Spring,tomato
65,37,26,21.3,61.1,6.5,115.9,Winter,grapes
71,31,29,20.8,51.0,6.4,86.1,Winter,orange
100,36,49,30.7,75.5,6.1,250.3,Summer,rice
80,37,32,6.0,58.6,5.5,128.6,Winter,apple
64,38,41,28.8,68.1,6.3,236.8,Summer,mango
63,33,31,18.5,63.2,6.9,79.4,Winter,orange
96,57,37,24.0,83.3,5.9,274.9,Summer,rice
70,45,44,24.3,80.6,6.1,127.5,Spring,papaya
57,27,42,17.1,52.7,5.6,147.1,Winter,orange
57,32,35,21.5,63.5,6.5,147.3,Winter,orange
64,29,23,21.5,56.3,6.0,67.9,Spring,tomato
71,32,48,34.4,82.7,6.3,214.0,Summer,banana
80,40,40,22.1,69.0,7.4,118.2,Summer,soybean
77,46,48,28.3,80.3,6.8,259.3,Summer,banana
75,43,37,11.3,51.7,6.5,144.6,Winter,apple
77,37,46,26.1,82.3,6.8,255.8,Summer,banana
50,29,27,16.4,63.0,6.1,42.4,Winter,onion
54,49,37,5.2,60.4,5.9,78.7,Winter,apple
85,27,45,24.7,76.2,6.5,124.1,Spring,papaya
80,52,50,18.0,52.3,7.1,57.4,Winter,wheat
71,48,31,11.0,59.7,6.2,95.0,Winter,wheat
63,35,34,22.9,71.6,6.9,122.8,Summer,soybean
53,38,40,16.4,60.3,7.2,61.1,Winter,grapes
75,43,38,11.8,65.3,6.4,137.2,Winter,orange
90,39,41,26.6,89.7,5.9,274.7,Summer,rice
77,26,31,27.8,67.0,6.5,99.3,Spring,papaya
60,31,30,18.8,57.4,6.0,83.1,Winter,carrot
68,46,38,5.6,49.2,5.6,96.7,Winter,apple
50,22,20,14.0,64.8,6.6,64.1,Winter,carrot
73,45,26,31.0,75.2,6.2,98.9,Spring,papaya
62,28,39,32.7,72.0,6.0,101.5,Summer,soybean
68,37,38,18.2,73.0,6.3,156.5,Winter,orange
51,41,30,10.6,71.3,6.0,125.5,Winter,orange
90,34,59,26.3,76.5,6.4,184.9,Summer,banana
48,16,24,17.9,49.6,6.4,62.4,Winter,onion
73,25,43,21.5,57.3,5.6,99.3,Winter,orange
57,27,27,12.2,64.1,6.9,63.2,Winter,orange
84,58,36,29.3,70.8,6.3,294.0,Summer,rice
62,34,37,15.6,55.9,5.9,94.2,Winter,grapes
56,25,27,12.2,51.1,5.7,89.9,Winter,carrot
77,34,27,27.6,79.7,6.3,92.9,Spring,papaya
83,25,39,30.1,77.2,5.6,85.9,Spring,papaya
62,24,23,8.3,51.4,6.6,87.4,Winter,potato
65,29,24,9.0,57.1,5.8,99.5,Winter,potato
43,24,38,29.8,51.5,7.2,61.2,Autumn,cotton
62,56,45,17.9,60.6,6.6,125.5,Winter,wheat
70,37,33,12.2,70.3,6.9,111.5,Winter,orange
60,21,36,31.5,62.0,5.7,84.2,Autumn,cotton
69,47,42,29.6,55.1,6.8,144.8,Spring,maize
75,32,45,22.7,69.9,6.5,158.6,Spring,papaya
69,51,32,17.7,61.2,7.3,138.8,Winter,wheat
74,47,45,18.6,49.3,6.7,51.3,Winter,apple
62,34,26,13.4,46.1,6.5,49.7,Winter,potato
64,51,32,14.8,74.1,6.3,87.1,Winter,wheat
62,28,41,23.5,76.6,6.8,130.1,Spring,papaya
80,46,39,20.8,55.6,6.5,76.3,Spring,maize
63,29,20,11.8,59.8,6.1,64.4,Winter,potato
49,35,34,19.3,51.4,6.2,41.4,Winter,potato
74,50,54,27.8,79.6,6.3,217.0,Summer,banana
62,30,42,25.1,70.1,6.3,124.5,Spring,papaya
39,21,16,13.0,51.2,6.9,78.4,Winter,onion
93,41,47,33.4,88.1,5.7,166.2,Summer,banana
65,26,25,26.9,66.5,5.8,111.8,Spring,papaya
63,35,23,18.1,46.9,6.7,96.0,Winter,potato
53,50,49,16.1,57.4,6.3,66.9,Winter,wheat
95,58,50,26.5,82.9,5.8,199.8,Summer,rice
50,55,50,10.8,62.8,7.2,63.9,Winter,wheat
69,35,45,31.5,67.2,6.8,132.3,Spring,papaya
47,28,31,12.5,59.5,6.5,101.3,Winter,grapes
95,49,46,23.1,86.2,5.8,253.6,Summer,rice
70,41,41,28.3,83.5,6.3,87.8,Spring,papaya
53,26,28,29.4,58.9,5.5,100.9,Spring,tomato
63,24,33,18.9,50.2,6.5,69.1,Spring,tomato
52,34,29,19.5,59.5,6.5,59.4,Winter,onion
91,53,48,26.2,88.9,6.3,231.3,Summer,rice
86,43,52,34.3,72.9,6.8,263.0,Summer,banana
40,20,22,15.6,53.7,6.3,86.5,Winter,carrot
66,20,32,31.3,61.1,7.0,77.4,Autumn,cotton
50,38,28,18.4,52.3,6.7,72.6,Winter,orange
65,37,28,28.0,55.9,5.8,70.4,Spring,tomato
78,39,50,35.8,72.0,7.0,111.4,Summer,mango
82,30,26,26.8,61.3,7.3,172.9,Summer,soybean
81,47,30,26.1,63.5,7.0,84.7,Spring,maize
72,50,37,15.8,65.6,6.1,130.5,Winter,apple
68,34,38,28.2,55.1,7.3,114.9,Summer,soybean
57,21,23,11.3,54.9,5.8,65.6,Winter,potato
50,31,34,18.8,62.5,6.5,42.7,Winter,carrot
35,33,26,9.7,55.2,5.6,45.3,Winter,carrot
61,44,40,21.4,53.4,6.9,76.3,Winter,wheat
81,47,42,26.6,58.6,5.9,122.9,Spring,maize
89,48,42,25.1,71.4,6.3,210.2,Summer,rice
48,18,17,15.5,68.8,6.2,65.5,Winter,onion
82,44,48,24.7,88.7,6.3,171.1,Summer,banana
86,39,45,26.7,85.6,6.4,220.6,Summer,rice
83,45,33,26.0,79.6,5.7,121.1,Spring,papaya
56,27,28,14.9,68.8,6.0,58.7,Winter,potato
82,37,39,30.4,80.5,5.7,295.7,Summer,rice
75,49,36,19.0,56.0,5.8,142.5,Spring,maize
64,38,29,14.0,69.1,6.2,123.0,Winter,apple
80,47,33,19.8,45.7,5.7,128.8,Winter,apple
52,30,40,20.2,63.8,5.9,93.0,Winter,orange
45,21,34,22.9,47.1,5.9,63.1,Winter,grapes
81,35,59,34.9,72.3,6.4,212.1,Summer,banana
46,39,39,24.5,52.4,7.4,87.6,Autumn,cotton
85,43,41,24.5,85.5,7.0,243.5,Summer,rice
39,22,27,14.7,52.9,6.8,82.0,Winter,carrot
83,25,42,30.6,75.1,6.9,118.4,Spring,papaya
66,25,34,11.8,65.8,6.9,156.2,Winter,orange
67,20,27,18.6,48.8,6.5,108.3,Winter,grapes
83,34,45,19.4,74.0,6.0,115.8,Spring,maize
62,60,40,15.9,71.4,7.0,60.8,Winter,wheat
76,44,43,26.8,72.0,7.5,177.1,Summer,soybean
52,45,25,14.7,66.1,6.2,148.7,Winter,apple
58,17,26,12.4,68.5,6.2,94.8,Winter,onion
45,24,21,12.3,56.3,5.9,45.4,Winter,carrot
43,34,25,21.0,47.4,6.1,64.8,Winter,onion
64,23,25,27.9,61.2,6.7,103.6,Spring,tomato
67,30,34,18.0,62.8,6.5,107.6,Spring,maize
65,45,25,33.9,64.2,5.6,123.6,Spring,papaya
62,34,28,19.3,67.5,7.0,64.5,Winter,grapes
81,41,43,31.2,74.1,6.2,162.8,Summer,banana
57,27,25,16.5,64.6,5.7,125.7,Winter,orange
68,26,44,23.7,72.9,6.0,158.6,Spring,papaya
85,26,30,27.6,67.8,6.7,85.8,Summer,mango
54,31,45,8.1,68.2,6.9,98.5,Winter,apple
61,38,42,17.9,59.5,6.3,105.0,Winter,apple
71,26,33,10.9,57.0,6.9,138.1,Winter,orange
87,43,39,34.9,69.8,6.2,100.8,Summer,mango
46,15,32,13.5,64.7,5.7,42.8,Winter,carrot
70,31,38,21.6,71.3,5.9,75.1,Spring,tomato
74,44,33,32.1,73.6,6.1,183.6,Summer,mango
85,56,46,25.9,70.9,6.4,284.9,Summer,rice
93,34,47,25.7,70.7,6.6,202.0,Summer,banana
55,15,16,8.4,62.8,6.4,40.9,Winter,carrot
54,29,40,27.7,70.0,5.8,119.3,Autumn,cotton
72,42,59,27.6,78.5,5.5,181.5,Summer,banana
82,45,45,20.2,64.1,5.6,108.6,Spring,maize
48,38,31,26.1,70.3,5.9,107.0,Spring,tomato
54,42,29,16.6,54.8,6.9,63.0,Winter,orange
82,37,47,26.6,77.8,5.7,279.8,Summer,rice
59,30,30,24.0,69.7,7.0,102.1,Autumn,cotton
44,19,24,12.0,55.0,5.5,67.2,Winter,carrot
71,56,30,17.0,56.7,6.3,143.5,Winter,wheat
52,42,40,14.2,66.7,6.9,132.6,Winter,orange
44,28,23,15.3,60.1,5.8,50.6,Winter,carrot
71,39,44,21.4,62.4,5.5,105.0,Spring,maize
50,59,31,16.5,63.5,6.6,87.2,Winter,wheat
62,29,29,13.2,64.8,5.6,82.2,Winter,potato
59,23,34,21.6,63.0,6.7,79.7,Winter,onion
57,29,34,29.4,52.7,5.8,96.3,Spring,tomato
97,32,58,25.8,70.5,6.6,264.9,Summer,banana
42,26,32,13.1,57.3,5.9,80.9,Winter,carrot
48,21,30,14.9,63.4,5.7,63.7,Winter,carrot
69,36,35,19.9,46.2,6.5,77.1,Winter,grapes
69,31,37,23.8,46.8,6.9,92.5,Winter,grapes
53,22,20,24.9,63.8,6.6,104.0,Autumn,cotton
83,39,38,29.7,56.0,6.9,164.4,Spring,maize
52,35,28,15.1,58.9,6.4,88.7,Winter,potato
86,34,47,28.4,75.5,6.4,143.0,Summer,mango
61,23,23,28.6,47.4,6.8,120.0,Autumn,cotton
80,57,45,12.5,73.6,6.3,71.4,Winter,wheat
60,37,35,34.7,67.2,5.7,239.9,Summer,mango
57,43,41,14.0,48.6,5.7,60.6,Winter,apple
55,27,33,17.7,61.0,6.6,81.4,Winter,orange
47,15,30,10.0,64.8,6.1,73.8,Winter,onion
64,26,44,29.4,76.8,6.6,106.0,Summer,soybean
59,30,26,16.2,58.4,5.9,110.8,Winter,orange
52,22,34,33.0,45.0,7.4,58.5,Autumn,cotton
65,35,20,27.5,48.0,5.5,90.0,Autumn,cotton
52,53,39,16.8,50.8,7.0,50.9,Winter,wheat
92,43,50,24.7,73.2,5.5,208.2,Summer,rice
62,47,31,16.1,61.3,6.9,130.9,Winter,wheat
93,56,36,26.9,87.4,6.7,180.3,Summer,rice
76,43,43,25.5,65.9,6.2,151.8,Spring,maize
78,39,45,30.8,86.6,5.7,183.7,Summer,banana
57,33,35,16.4,56.0,5.5,66.5,Winter,grapes
73,39,42,18.9,74.3,5.6,77.0,Winter,orange
46,19,28,9.3,62.1,6.0,84.3,Winter,carrot
77,31,32,14.1,49.3,6.3,52.0,Winter,apple
42,22,30,14.4,57.3,6.3,96.9,Winter,potato
99,60,36,22.2,74.2,6.6,224.9,Summer,rice
52,37,21,16.3,50.5,6.4,44.5,Winter,grapes
56,34,24,13.0,49.6,6.6,74.4,Winter,carrot
65,44,26,17.2,53.4,5.7,157.7,Winter,orange
42,24,40,28.4,49.3,7.1,54.8,Autumn,cotton
62,40,30,12.2,51.3,6.8,106.2,Winter,grapes
70,46,41,25.8,81.8,5.8,282.9,Summer,banana
53,39,43,5.5,51.8,5.9,64.8,Winter,apple
68,26,27,28.3,71.1,6.8,149.3,Spring,papaya
79,60,36,20.7,60.4,7.2,130.0,Winter,wheat
66,26,30,33.1,50.4,6.7,101.1,Autumn,cotton
81,45,34,32.7,70.0,6.6,205.5,Summer,mango
41,26,30,8.9,54.3,6.8,90.1,Winter,potato
65,32,35,29.6,56.1,7.4,113.1,Autumn,cotton
49,40,27,30.7,69.9,6.8,104.5,Autumn,cotton
76,36,54,26.3,84.3,6.4,187.3,Summer,banana
59,27,39,28.1,72.4,6.8,55.0,Spring,tomato
84,50,37,29.1,80.2,6.1,286.5,Summer,rice
69,31,40,16.9,50.2,6.6,67.8,Winter,grapes
64,33,27,12.2,59.4,7.1,83.5,Winter,grapes
52,29,40,33.4,59.2,7.4,52.1,Autumn,cotton
54,45,26,19.7,51.6,5.7,59.6,Winter,apple
35,27,17,20.9,54.9,6.1,99.7,Winter,onion
40,36,22,27.6,46.8,6.2,76.7,Autumn,cotton
69,25,30,35.3,83.3,6.0,110.7,Summer,mango
42,20,28,15.7,63.1,6.1,75.7,Winter,potato
35,19,24,8.8,53.3,6.9,88.8,Winter,carrot
59,41,34,12.4,56.6,6.5,118.4,Winter,orange
52,40,25,24.4,54.4,5.5,81.9,Spring,tomato
54,24,25,13.6,69.6,6.8,42.9,Winter,grapes
62,25,22,25.2,72.7,6.8,99.9,Spring,tomato
68,36,38,26.7,68.5,6.6,126.3,Spring,papaya
76,47,33,23.2,74.9,6.1,111.8,Spring,maize
75,31,33,16.9,53.1,5.7,135.1,Winter,orange
59,48,30,17.7,56.8,6.5,107.6,Winter,apple
59,52,48,15.2,70.6,6.1,120.3,Winter,wheat
35,17,30,18.9,49.9,6.2,87.3,Winter,onion
90,41,50,31.3,79.3,7.3,191.0,Summer,mango
48,24,27,14.7,65.9,5.9,54.6,Winter,potato
41,16,32,8.4,47.8,5.7,88.8,Winter,carrot
63,39,36,28.9,60.9,6.3,107.7,Autumn,cotton
84,37,38,30.2,65.5,6.5,132.2,Spring,papaya
68,37,41,18.6,65.7,6.1,90.9,Winter,orange
45,29,31,24.9,50.8,5.8,118.3,Spring,tomato
68,35,36,25.4,63.7,5.6,114.2,Spring,maize
74,37,30,15.9,54.6,5.8,94.7,Winter,orange
52,32,32,11.1,64.4,5.9,44.5,Winter,potato
49,23,33,28.5,73.8,6.0,95.6,Spring,tomato
59,30,34,10.9,61.1,5.8,64.1,Winter,potato
69,30,33,27.0,45.3,6.1,51.0,Autumn,cotton
65,36,32,15.9,66.0,5.7,87.1,Winter,orange
94,45,49,24.5,83.1,6.1,279.5,Summer,banana
55,35,21,19.9,73.3,5.5,67.9,Spring,tomato
62,32,44,30.9,63.4,6.2,142.0,Spring,papaya
74,41,28,12.2,51.9,5.7,147.0,Winter,apple
67,57,32,11.4,54.8,6.2,108.8,Winter,wheat
47,22,36,24.7,46.5,6.9,106.3,Autumn,cotton
54,35,25,16.7,51.5,6.0,64.7,Winter,apple
70,40,23,16.7,54.9,5.5,49.8,Winter,grapes
65,25,41,23.8,80.2,5.8,171.2,Spring,papaya
50,28,38,14.0,72.6,6.3,115.7,Winter,orange
64,34,40,20.0,66.8,7.0,115.8,Spring,tomato
53,42,39,17.1,71.8,7.2,113.3,Winter,wheat
54,42,41,15.4,56.6,6.7,140.6,Winter,orange
50,30,24,8.0,59.1,6.2,76.5,Winter,potato
56,27,33,8.6,59.8,6.5,70.8,Winter,potato
57,15,26,18.7,54.0,6.6,76.5,Winter,onion
40,39,34,27.2,58.1,6.0,71.4,Autumn,cotton
75,46,38,20.0,64.4,7.2,108.0,Winter,wheat
53,31,20,12.8,58.4,6.2,61.7,Winter,onion
63,45,33,27.3,64.9,6.0,139.8,Spring,papaya
83,60,36,24.1,81.0,6.7,236.3,Summer,rice
50,29,28,13.2,62.4,5.9,71.5,Winter,potato
75,44,45,13.7,51.1,6.4,128.7,Winter,apple
51,28,21,13.7,47.9,7.0,68.7,Winter,onion
58,24,27,20.7,64.9,5.7,138.5,Spring,tomato
62,36,33,18.6,72.4,6.9,88.0,Spring,maize
96,48,45,29.4,78.4,6.1,221.8,Summer,banana
76,36,33,26.7,55.2,6.6,174.4,Summer,soybean
74,56,39,20.4,53.6,6.7,53.2,Winter,wheat
75,28,41,19.6,72.6,6.7,94.2,Winter,orange
60,23,30,24.6,58.7,6.1,77.8,Spring,tomato
61,38,49,30.4,67.6,6.8,231.2,Summer,mango
60,19,29,16.2,47.4,6.2,47.2,Winter,onion
52,31,28,25.1,60.0,6.1,114.6,Spring,tomato
75,42,41,9.1,62.1,6.4,73.2,Winter,apple
40,23,15,14.9,47.0,6.8,69.3,Winter,onion
58,24,39,23.7,67.1,6.2,77.4,Spring,tomato
56,38,30,23.8,60.8,7.1,70.7,Winter,grapes
91,33,41,24.6,71.7,6.6,182.4,Summer,banana
